Country,Latitude,Longitude,Regional indicator,Year,Happiness score,Change,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
Albania,41.153332,20.168331,Central and Eastern Europe,2020,4.882699966,-0.650942802,0.906653047,0.830483913,0.846329629,0.461945891,0.171027765,0.025361285
Algeria,28.033886,1.659626,Middle East and North Africa,2020,5.005099773,-0.456907749,0.943856001,1.143003583,0.745418549,0.083943799,0.118915014,0.129190654
Argentina,-38.416097,-63.616672,Latin America and Caribbean,2020,5.974699974,-0.439862251,1.028465629,1.372543693,0.849773705,0.520840347,0.070100471,0.060415059
Armenia,40.069099,45.038189,Commonwealth of Independent States,2020,4.676799774,0.321033001,0.808262408,1.034576893,0.77585727,0.378075808,0.107225738,0.104618184
Australia,-25.274398,133.775136,North America and ANZ,2020,7.222799778,-0.103420734,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419
Austria,47.516231,14.550072,Western Europe,2020,7.294199944,-0.037103176,1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139
Azerbaijan,40.143105,47.576927,Commonwealth of Independent States,2020,5.164800167,0.524094582,0.990272701,1.180613041,0.731134057,0.467734724,0.040113214,0.247307181
Bahrain,25.930414,50.637772,Middle East and North Africa,2020,6.227300167,0.800364971,1.296692252,1.31532371,0.838836372,0.610399902,0.287453711,0.126697257
Bangladesh,23.684994,90.356331,South Asia,2020,4.832799911,-0.046970367,0.556156278,0.868800581,0.694940507,0.604130566,0.176745117,0.176735908
Belarus,53.709807,27.953389,Commonwealth of Independent States,2020,5.539899826,0.031939507,1.018854499,1.38713932,0.75258857,0.290755868,0.08993306,0.193607435
Belgium,50.503887,4.469936,Western Europe,2020,6.863500118,-0.140722275,1.295842767,1.398677588,0.964901149,0.499805421,0.146966159,0.208724052
Benin,9.30769,2.315834,Sub-Saharan Africa,2020,5.21600008,1.643526316,0.366244704,0.352428436,0.328062952,0.40583989,0.196670428,0.125931874
Bolivia,-16.290154,-63.588653,Latin America and Caribbean,2020,5.747499943,-0.043299198,0.730976343,1.142350554,0.662445664,0.5744645,0.138375074,0.072942637
